run,arm,mode,lr,seed,step,window,tau,signal,MG,MG40,ident,degenerate,points,mg_seconds,validity_seconds,cheap_seconds,std,residual_std,acorr1,spectral_entropy,crossings,mg_seconds_rep0,mg_seconds_rep1,mg_seconds_rep2,validity_seconds_rep0,validity_seconds_rep1,validity_seconds_rep2,cheap_seconds_rep0,cheap_seconds_rep1,cheap_seconds_rep2,lr_checkpoint,lambda_max,ritz_residual,hvp_count,hessian_seconds,gd_ratio,activation_pr,activation_seconds,gradient_proxy,gradient_seconds
adam_constant_lr0.003_s0,adam,constant,0.003,0,511,512,1,train_loss,10.333326269193613,12.782883037818108,1.2370540428910364,False,493,0.006829200079664588,0.015722400275990367,0.0002148000057786703,0.27400520614545515,0.15703413348708686,0.914291604482136,0.6215360018410256,98.0,0.007005899911746383,0.006778700044378638,0.006829200079664588,0.01609139982610941,0.015701200114563107,0.015722400275990367,0.0002272999845445156,0.0002148000057786703,0.00018420000560581684,0.003,69.209228515625,1.3600551137701115e-05,31,0.5270744999870658,,7.949492454528809,0.0028502999339252,2.6009204387664795,0.0108360999729484
adam_constant_lr0.003_s0,adam,constant,0.003,0,639,512,1,train_loss,10.694724683161352,14.493072628593492,1.3551608908093322,False,493,0.006992099806666374,0.016085099894553423,0.00021159998141229153,0.14177538292225111,0.04491211639186399,0.1073504883585218,0.8902533630033642,231.0,0.006992099806666374,0.007024900056421757,0.006982299964874983,0.016064599622040987,0.01631249999627471,0.016085099894553423,0.00022089993581175804,0.00021159998141229153,0.000206399941816926,0.003,125.80807495117188,3.1354548713997015e-05,31,0.513202500063926,,8.323264122009277,0.0020445000845938,1.8985490798950195,0.0110537998843938
adam_constant_lr0.003_s0,adam,constant,0.003,0,767,512,1,train_loss,10.720777438707927,14.655986025685975,1.3670637329686346,False,493,0.007877100026234984,0.018962800269946456,0.0003136999439448118,0.11635689759897189,0.04693103724936856,0.11038811172433531,0.8729631919211605,224.0,0.008148200111463666,0.007877100026234984,0.007749099982902408,0.018962800269946456,0.018356900196522474,0.02235069964081049,0.0003136999439448118,0.00021620001643896103,0.0004983998369425535,0.003,84.24790954589844,1.0136057547847536e-05,31,0.5042038999963552,,9.094971656799316,0.0020409999415278,2.1923868656158447,0.0112050001043826
adam_constant_lr0.003_s0,adam,constant,0.003,0,895,512,1,train_loss,11.313828914418167,15.992674496235376,1.4135510283220352,False,493,0.009677799884229898,0.025876100175082684,0.00027540000155568123,0.09639932868797677,0.04717875526227695,0.020948043179534127,0.9122015418397101,266.0,0.009677799884229898,0.00938610010780394,0.016445500077679753,0.021794100059196353,0.025876100175082684,0.03053780016489327,0.00027540000155568123,0.0006124000065028667,0.00023060012608766556,0.003,140.7028350830078,4.221600828055945e-05,31,0.5113758000079542,,9.40479564666748,0.0025360998697578,3.388445377349853,0.01029759994708
adam_constant_lr0.003_s0,adam,constant,0.003,0,1023,512,1,train_loss,11.30324321422666,16.589391505328333,1.4676665087103797,False,493,0.008655200013890862,0.01993230008520186,0.00020020012743771076,0.08794698189927475,0.04845394834061177,0.011041042573682778,0.9321970338339666,265.0,0.008655200013890862,0.00860680011101067,0.008698599878698587,0.01993230008520186,0.01974570006132126,0.019975700182840228,0.00021119997836649418,0.00019829999655485153,0.00020020012743771076,0.003,96.63282012939452,2.3995725051936133e-05,31,0.5141410999931395,,9.434928894042969,0.0025998000055551,2.7509140968322754,0.0110716999042779
adam_constant_lr0.003_s0,adam,constant,0.003,0,1151,512,1,train_loss,11.805801858425639,17.944047765803322,1.519934688129371,False,493,0.008999200072139502,0.020651099737733603,0.00022779987193644047,0.08313768623507983,0.05220620468527299,0.02274521976872185,0.9280775173149667,249.0,0.008999200072139502,0.009257299825549126,0.008877499960362911,0.02065329998731613,0.020651099737733603,0.020556600065901875,0.0002413999754935503,0.00022779987193644047,0.00019449996761977673,0.003,115.25526428222656,2.324055592000156e-05,31,0.5089575999882072,,9.737886428833008,0.0027302000671625,1.7837058305740356,0.0130597001407295
adam_constant_lr0.003_s0,adam,constant,0.003,0,1279,512,1,train_loss,12.47727643771309,19.394957648303777,1.5544223729532596,False,493,0.009033799869939685,0.020242499886080623,0.000202300027012825,0.07364507538335127,0.055165023589185666,0.08459408340819354,0.9119088646190036,248.0,0.008984499843791127,0.009037800133228302,0.009033799869939685,0.020184099907055497,0.020314100198447704,0.020242499886080623,0.000202300027012825,0.00020020012743771076,0.0002033999189734459,0.003,116.81160736083984,4.1340585883440186e-05,31,0.5060463000554591,,10.11874294281006,0.0025245998986065,3.034118413925171,0.010782599914819
adam_constant_lr0.003_s0,adam,constant,0.003,0,1407,512,1,train_loss,13.467839796762492,20.83134354897763,1.5467472039565868,False,493,0.009526300011202693,0.02190539985895157,0.00021159998141229153,0.0673248710569001,0.05668617178682414,0.03407961504880444,0.929845254684626,243.0,0.009526300011202693,0.00940229999832809,0.010460600024089217,0.02190539985895157,0.02125649992376566,0.022551900008693337,0.000210499856621027,0.00021629990078508854,0.00021159998141229153,0.003,133.03668212890625,2.2123696331269323e-05,31,0.5255101998336613,,10.433354377746582,0.0022523000370711,2.869274854660034,0.0119880000129342
adam_constant_lr0.003_s0,adam,constant,0.003,0,1535,512,1,train_loss,13.213335779355129,19.764155416618966,1.4957733419216526,False,493,0.009871100075542927,0.02156889997422695,0.00020489981397986412,0.06448549267828431,0.058554898464610206,0.03429728452982923,0.9207880558099606,242.0,0.009391600033268332,0.009871100075542927,0.009950699983164668,0.02112510008737445,0.02156889997422695,0.021976699819788337,0.00018720002844929695,0.00024339999072253704,0.00020489981397986412,0.003,130.55052185058594,2.189519741598996e-05,31,0.5081452999729663,,10.3624849319458,0.0023630000650882,3.4003593921661377,0.0109188999049365
adam_constant_lr0.003_s0,adam,constant,0.003,0,1663,512,1,train_loss,13.207422763251465,19.600468742006015,1.4840494692532036,False,493,0.009389400016516447,0.021692599868401885,0.00019800011068582535,0.06385228535272085,0.058287043295056934,0.021754458982289546,0.9210220918111507,246.0,0.009389400016516447,0.009327099891379476,0.009819299913942814,0.02172980015166104,0.02111529977992177,0.021692599868401885,0.00019800011068582535,0.00021389988251030445,0.00018480001017451286,0.003,196.70477294921875,2.087034961770248e-05,31,0.5182904999237508,,10.672571182250977,0.0021196999587118,2.0167558193206787,0.0112449000589549
