step,train_loss,probe_loss,grad_norm,lr
0,4.180583953857422,4.182200908660889,1.7241822481155396,0.003
1,3.97887921333313,3.9681427478790283,1.708339810371399,0.003
2,3.7868690490722656,3.8162930011749268,1.499670147895813,0.003
3,3.7070844173431396,3.7032487392425537,1.2695444822311401,0.003
4,3.6469881534576416,3.601696729660034,1.0414402484893799,0.003
5,3.502969741821289,3.513763189315796,1.057839035987854,0.003
6,3.4355669021606445,3.4348978996276855,1.607962965965271,0.003
7,3.415125608444214,3.374544620513916,0.8478693962097168,0.003
8,3.3767011165618896,3.316859006881714,0.9518545866012573,0.003
9,3.2189767360687256,3.261888265609741,0.775745153427124,0.003
10,3.192946434020996,3.2166314125061035,0.7133005857467651,0.003
11,3.2084505558013916,3.180920124053955,1.0033292770385742,0.003
12,3.1567094326019287,3.131697177886963,0.7260063886642456,0.003
13,3.1466381549835205,3.1032042503356934,0.7802084684371948,0.003
14,3.0506391525268555,3.0995919704437256,1.3596932888031006,0.003
15,3.075246810913086,3.0511486530303955,0.7023134231567383,0.003
16,3.0085721015930176,3.0276894569396973,0.7966219782829285,0.003
17,3.02396821975708,2.9880905151367188,0.5077543258666992,0.003
18,2.9690518379211426,2.965790033340454,0.6610541343688965,0.003
19,2.9663407802581787,2.9467804431915283,0.7981398701667786,0.003
20,2.9414825439453125,2.9207611083984375,0.5713884830474854,0.003
21,2.9185779094696045,2.906649112701416,1.0411323308944702,0.003
22,2.894911289215088,2.875394821166992,0.5940046310424805,0.003
23,2.889439105987549,2.8704469203948975,0.7773503661155701,0.003
24,2.898980140686035,2.867643117904663,0.8819345235824585,0.003
25,2.9314000606536865,2.840412139892578,0.6463376879692078,0.003
26,2.8844847679138184,2.8304247856140137,0.6491987705230713,0.003
27,2.7801010608673096,2.820200204849243,0.7788668870925903,0.003
28,2.7966127395629883,2.811622381210327,0.6024623513221741,0.003
29,2.7827441692352295,2.8042705059051514,0.6896306276321411,0.003
30,2.860717535018921,2.795870304107666,1.1108986139297485,0.003
31,2.7425076961517334,2.7726831436157227,0.6623412370681763,0.003
32,2.81528639793396,2.7664365768432617,0.7416057586669922,0.003
33,2.7718663215637207,2.7467267513275146,0.6604487895965576,0.003
34,2.6995835304260254,2.7357869148254395,0.907522976398468,0.003
